Source,Target,Type,Id,Label,timeset,Weight,source station,target station
94,225,Undirected,270,,,1,chatelet,cite
225,226,Undirected,271,,,1,cite,saint-michel
226,89,Undirected,272,,,1,saint-michel,odeon
89,227,Undirected,273,,,1,odeon,saint-germain-des-pres
227,228,Undirected,274,,,1,saint-germain-des-pres,saint-sulpice
228,229,Undirected,275,,,1,saint-sulpice,saint-placide
229,122,Undirected,276,,,1,saint-placide,montparnasse bienvenue
122,303,Undirected,277,,,1,montparnasse bienvenue,vavin
230,231,Undirected,278,,,1,raspail,denefert-rochereau
231,232,Undirected,279,,,1,denefert-rochereau,mountin-duvernet
232,233,Undirected,280,,,1,mountin-duvernet,alesia
233,234,Undirected,281,,,1,alesia,porte d'orleans
234,235,Undirected,282,,,1,porte d'orleans,mairie de montrouge
235,236,Undirected,283,,,1,mairie de montrouge,barbara
236,304,Undirected,284,,,1,barbara,bagneux lucie aubrac
237,238,Undirected,285,,,1,bobigny pablo picasso,bobigny-pantin raymond queneau
238,239,Undirected,286,,,1,bobigny-pantin raymond queneau,eglise de pantin
239,240,Undirected,287,,,1,eglise de pantin,hoche
240,241,Undirected,288,,,1,hoche,porte de pantin
241,242,Undirected,289,,,1,porte de pantin,ourcq
242,243,Undirected,290,,,1,ourcq,laumiere
243,1,Undirected,291,,,1,laumiere,jaures
189,220,Undirected,293,,,1,stalingrad,gare du nord
220,221,Undirected,294,,,1,gare du nord,gare de I'est
221,244,Undirected,295,,,1,gare de I'est,jacques bonsergent
244,24,Undirected,296,,,1,jacques bonsergent,republique
24,63,Undirected,297,,,1,republique,oberkampf
63,245,Undirected,298,,,1,oberkampf,richard-lenoir
245,246,Undirected,299,,,1,richard-lenoir,breguet-sabin
246,27,Undirected,300,,,1,breguet-sabin,bastille
27,247,Undirected,301,,,1,bastille,quai de la rapee
247,248,Undirected,302,,,1,quai de la rapee,gare d'austerlitz
248,249,Undirected,303,,,1,gare d'austerlitz,saint-marcel
249,250,Undirected,304,,,1,saint-marcel,campo-formio
250,262,Undirected,305,,,1,campo-formio,place d'italie
169,251,Undirected,306,,,1,charles de gualle-etoile,kleber
251,252,Undirected,307,,,1,kleber,boissiere
252,54,Undirected,308,,,1,boissiere,trocadero
54,253,Undirected,309,,,1,trocadero,passy
253,254,Undirected,310,,,1,passy,bir-hakeim
254,255,Undirected,311,,,1,bir-hakeim,dupleix
255,13,Undirected,312,,,1,dupleix,la motte-picquet-grenelle
13,256,Undirected,313,,,1,la motte-picquet-grenelle,cambronne
256,257,Undirected,314,,,1,cambronne,sevres-lecourbe
257,124,Undirected,315,,,1,sevres-lecourbe,pasteur
124,122,Undirected,316,,,1,pasteur,montparnasse bienvenue
122,258,Undirected,317,,,1,montparnasse bienvenue,edgar quinet
258,230,Undirected,318,,,1,edgar quinet,raspail
230,231,Undirected,319,,,1,raspail,denefert-rochereau
231,259,Undirected,320,,,1,denefert-rochereau,saint-jacques
259,260,Undirected,321,,,1,saint-jacques,glaciere
260,261,Undirected,322,,,1,glaciere,corvisart
261,262,Undirected,323,,,1,corvisart,place d'italie
262,263,Undirected,324,,,1,place d'italie,nationale
263,264,Undirected,325,,,1,nationale,chevaleret
264,265,Undirected,326,,,1,chevaleret,quai de la gare
265,160,Undirected,327,,,1,quai de la gare,bercy
160,266,Undirected,328,,,1,bercy,dugommier
266,32,Undirected,329,,,1,dugommier,daumesnil
32,267,Undirected,330,,,1,daumesnil,bel-air
267,268,Undirected,331,,,1,bel-air,picpus
268,68,Undirected,332,,,1,picpus,nation
269,270,Undirected,333,,,1,la courneuve 8 mai 1945,fort d'aubervilliers
270,271,Undirected,334,,,1,fort d'aubervilliers,aubervilliers-pantin quatre chemis
271,272,Undirected,335,,,1,aubervilliers-pantin quatre chemis,porte de la villette
272,273,Undirected,336,,,1,porte de la villette,corentin cariou
273,274,Undirected,337,,,1,corentin cariou,crimee
274,275,Undirected,338,,,1,crimee,riquet
275,189,Undirected,339,,,1,riquet,stalingrad
189,0,Undirected,340,,,1,stalingrad,louis blanc
0,276,Undirected,341,,,1,louis blanc,chateau-landon
276,221,Undirected,342,,,1,chateau-landon,gare de I'est
221,277,Undirected,343,,,1,gare de I'est,poissonniere
277,278,Undirected,344,,,1,poissonniere,cadet
278,279,Undirected,345,,,1,cadet,le peletier
279,62,Undirected,346,,,1,le peletier,chaussee d'antin-la fayette
62,19,Undirected,347,,,1,chaussee d'antin-la fayette,opera
19,158,Undirected,348,,,1,opera,pyramides
158,172,Undirected,349,,,1,pyramides,palais royal-musee du louvre
172,280,Undirected,350,,,1,palais royal-musee du louvre,pont neuf
280,94,Undirected,351,,,1,pont neuf,chatelet
94,281,Undirected,352,,,1,chatelet,pont marie
281,282,Undirected,353,,,1,pont marie,sully-morland
282,93,Undirected,354,,,1,sully-morland,jussieu
93,283,Undirected,355,,,1,jussieu,place monge
283,284,Undirected,356,,,1,place monge,censier-daubenton
284,285,Undirected,357,,,1,censier-daubenton,les gobelins
285,262,Undirected,358,,,1,les gobelins,place d'italie
262,286,Undirected,359,,,1,place d'italie,tolbiac
286,287,Undirected,360,,,1,tolbiac,maison blanche
287,288,Undirected,361,,,1,maison blanche,porte d'italie
288,289,Undirected,362,,,1,porte d'italie,porte de choisy
289,290,Undirected,363,,,1,porte de choisy,porte de d'ivry
290,291,Undirected,364,,,1,porte de d'ivry,pierre et marie curie
291,305,Undirected,365,,,1,pierre et marie curie,mairie d'ivry
287,292,Undirected,366,,,1,maison blanche,le kremlin bicetre
292,293,Undirected,367,,,1,le kremlin bicetre,villejuif leo lagrange
293,294,Undirected,368,,,1,villejuif leo lagrange,villejuif paul vaillant-couturier
294,306,Undirected,369,,,1,villejuif paul vaillant-couturier,villejuif louis aragon
